[2026-03-19 13:29:56,507: INFO: main: Welcome to our custom log]
[2026-03-19 15:16:25,668: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 15:17:12,200: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 15:17:12,206: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 15:17:12,209: INFO: common: created directory at: artifacts]
[2026-03-19 15:17:12,211: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 15:17:12,214: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 15:17:20,816: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 15:44:25,461: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-19 15:44:25,464: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 15:44:25,466: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 15:44:25,467: INFO: common: created directory at: artifacts]
[2026-03-19 15:44:25,467: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 15:44:25,468: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 15:44:32,919: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 15:44:33,566: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
